ticker,instrument_type,asset_class,theme,underlying_index,issuer,leverage_multiplier,direction,is_inverse,is_daily_reset,is_leveraged,is_core_market_proxy,is_sector_proxy,is_thematic_proxy,selection_lane,max_shadow_weight,real_book_allowed,nisa_candidate_allowed,research_only,notes
SPY,CORE_ETF,ETF,SP500,S&P 500,State Street,1,LONG,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CORE_ETF_LANE,0.30,FALSE,TRUE,TRUE,Core broad-market proxy.
VOO,CORE_ETF,ETF,SP500,S&P 500,Vanguard,1,LONG,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CORE_ETF_LANE,0.30,FALSE,TRUE,TRUE,Core broad-market proxy.
IVV,CORE_ETF,ETF,SP500,S&P 500,iShares,1,LONG,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CORE_ETF_LANE,0.30,FALSE,TRUE,TRUE,Core broad-market proxy.
QQQ,CORE_ETF,ETF,NASDAQ,Nasdaq-100,Invesco,1,LONG,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CORE_ETF_LANE,0.30,FALSE,TRUE,TRUE,Core growth-market proxy.
QQQM,CORE_ETF,ETF,NASDAQ,Nasdaq-100,Invesco,1,LONG,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,CORE_ETF_LANE,0.30,FALSE,TRUE,TRUE,Core growth-market proxy.
SMH,SECTOR_ETF,ETF,SEMICONDUCTOR,MVIS US Listed Semiconductor 25,VanEck,1,LONG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,SECTOR_ETF_LANE,0.15,FALSE,TRUE,TRUE,Semiconductor sector proxy.
SOXX,SECTOR_ETF,ETF,SEMICONDUCTOR,NYSE Semiconductor Index,iShares,1,LONG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,SECTOR_ETF_LANE,0.15,FALSE,TRUE,TRUE,Semiconductor sector proxy.
SOXQ,SECTOR_ETF,ETF,SEMICONDUCTOR,PHLX Semiconductor Sector Index,Invesco,1,LONG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,SECTOR_ETF_LANE,0.15,FALSE,TRUE,TRUE,Semiconductor sector proxy.
XSD,SECTOR_ETF,ETF,SEMICONDUCTOR,S&P Semiconductor Select Industry Index,SPDR,1,LONG,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,SECTOR_ETF_LANE,0.15,FALSE,TRUE,TRUE,Equal-weight semiconductor sector proxy.
DRAM,THEMATIC_ETF,ETF,MEMORY,Memory and DRAM thematic basket,Roundhill,1,LONG,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,THEMATIC_ETF_LANE,0.10,FALSE,TRUE,TRUE,Memory and DRAM thematic proxy.
